city,lat,lng,country,iso2,iso3,province
Albany,42.67001691,-73.81994918,United States of America,US,USA,New York
Montpelier,44.25997154,-72.57581323,United States of America,US,USA,Vermont
Augusta,44.31056276,-69.77998906,United States of America,US,USA,Maine
Concord,43.20807192,-71.53804712,United States of America,US,USA,New Hampshire
Boston,42.32996014,-71.07001367,United States of America,US,USA,Massachusetts
Providence,41.82110231,-71.4149797,United States of America,US,USA,Rhode Island
Hartford,41.77002016,-72.67996708,United States of America,US,USA,Connecticut
New York,40.74997906,-73.98001693,United States of America,US,USA,New York
Trenton,40.2169625,-74.74335535,United States of America,US,USA,New Jersey
Philadelphia,39.99997316,-75.16999597,United States of America,US,USA,Pennsylvania
Dover,39.15808657,-75.524703,United States of America,US,USA,Delaware
Baltimore,39.29999005,-76.61998499,United States of America,US,USA,Maryland
"Washington, D.C.",38.89954938,-77.00941858,2445216.5,United States of America,US,USA,District of Columbia
Richmond,37.55001935,-77.449986,United States of America,US,USA,Virginia
Raleigh,35.81878135,-78.64469344,United States of America,US,USA,North Carolina
Charleston,38.34973798,-81.63272811,United States of America,US,USA,West Virginia
Columbus,39.97997438,-82.9900096,United States of America,US,USA,Ohio
Detroit,42.32996014,-83.08005579,United States of America,US,USA,Michigan
Toledo,41.67002626,-83.57997359,United States of America,US,USA,Ohio
Pittsburgh,40.4299986,-79.99998539,United States of America,US,USA,Pennsylvania
Harrisburg,40.27359987,-76.88474919,United States of America,US,USA,Pennsylvania
Atlanta,33.83001385,-84.39994938,United States of America,US,USA,Georgia
Miami,25.7876107,-80.22410608,United States of America,US,USA,Florida
Tallahassee,30.44998761,-84.28003422,United States of America,US,USA,Florida
Montgomery,32.36160219,-86.27918868,United States of America,US,USA,Alabama
Jackson,32.29881533,-90.18499679,United States of America,US,USA,Mississippi
Little Rock,34.73608258,-92.33109318,United States of America,US,USA,Arkansas
New Orleans,29.99500246,-90.03996688,United States of America,US,USA,Louisiana
Baton Rouge,30.45794578,-91.14015812,United States of America,US,USA,Louisiana
Houston,29.81997438,-95.33997929,United States of America,US,USA,Texas
Austin,30.26694969,-97.74277836,United States of America,US,USA,Texas
Fort Stockton,30.89169191,-102.8849968,United States of America,US,USA,Texas
Dallas,32.82002382,-96.84001693,United States of America,US,USA,Texas
Oklahoma City,35.47004295,-97.51868351,United States of America,US,USA,Oklahoma
Topeka,39.05000531,-95.66998499,United States of America,US,USA,Kansas
Jefferson City,38.57662335,-92.17332503,United States of America,US,USA,Missouri
Memphis,35.1199868,-89.99999516,United States of America,US,USA,Tennessee
Frankfort,38.2008065,-84.87335718,United States of America,US,USA,Kentucky
Nashville,36.16997438,-86.77998499,United States of America,US,USA,Tennessee
Columbia,34.0399752,-80.89998214,United States of America,US,USA,South Carolina
Billings,45.78830202,-108.5400004,United States of America,US,USA,Montana
Rapid City,44.08055096,-103.2305571,United States of America,US,USA,South Dakota
Pierre,44.36833701,-100.350552,United States of America,US,USA,South Dakota
Bismarck,46.80831728,-100.7833163,United States of America,US,USA,North Dakota
St. Paul,44.94398663,-93.08497481,509961,United States of America,US,USA,Minnesota
Madison,43.07301556,-89.40111699,United States of America,US,USA,Wisconsin
Chicago,41.82999066,-87.75005497,United States of America,US,USA,Illinois
Indianapolis,39.74998842,-86.17004806,United States of America,US,USA,Indiana
St. Louis,38.63501772,-90.23998051,1259958,United States of America,US,USA,Missouri
Springfield,39.82000999,-89.65001652,United States of America,US,USA,Illinois
Galesburg,40.94777061,-90.37108362,United States of America,US,USA,Illinois
Des Moines,41.57998008,-93.61998092,United States of America,US,USA,Iowa
Lincoln,40.81997479,-96.68000086,United States of America,US,USA,Nebraska
Cheyenne,41.14000694,-104.8197107,United States of America,US,USA,Wyoming
Helena,46.59274904,-112.035291,United States of America,US,USA,Montana
Albuquerque,35.10497479,-106.6413308,United States of America,US,USA,New Mexico
Santa Fe,35.68692893,-105.9372394,United States of America,US,USA,New Mexico
Denver,39.73918805,-104.984016,United States of America,US,USA,Colorado
Boise,43.60859011,-116.2274899,United States of America,US,USA,Idaho
Kennewick,46.21137697,-119.1360979,United States of America,US,USA,Washington
Seattle,47.57000205,-122.339985,United States of America,US,USA,Washington
Olympia,47.03804486,-122.899434,United States of America,US,USA,Washington
Portland,45.52002382,-122.6799901,United States of America,US,USA,Oregon
Sacramento,38.57502138,-121.4700381,United States of America,US,USA,California
San Francisco,37.74000775,-122.4599777,United States of America,US,USA,California
Los Angeles,33.98997825,-118.1799805,United States of America,US,USA,California
Las Vegas,36.20999778,-115.2200061,United States of America,US,USA,Nevada
Phoenix,33.53997988,-112.0699917,United States of America,US,USA,Arizona
Tucson,32.20499676,-110.8899862,United States of America,US,USA,Arizona
El Paso,31.77998395,-106.5099952,United States of America,US,USA,Texas
Banff,51.17799888,-115.5719227,Canada,CA,CAN,Alberta
Calgary,51.08299176,-114.0799982,Canada,CA,CAN,Alberta
Edmonton,53.55002464,-113.4999819,Canada,CA,CAN,Alberta
Fort McMurray,56.7333187,-111.3833153,Canada,CA,CAN,Alberta
Wood Buffalo,56.726667,-111.379722
Yellowknife,62.44201418,-114.3969814,Canada,CA,CAN,Northwest Territories
Fort Simpson,61.84998313,-121.3332764,Canada,CA,CAN,Northwest Territories
Whitehorse,60.71671897,-135.0499844,Canada,CA,CAN,Yukon
Iskut,57.833333,-129.983333
Hazelton,55.2599,-127.64547
Kamloops,50.66666058,-120.3332858,Canada,CA,CAN,British Columbia
Vancouver,49.27341658,-123.1216442,Canada,CA,CAN,British Columbia
Regina,50.45003298,-104.6170099,Canada,CA,CAN,Saskatchewan
Saskatoon,52.17003135,-106.6699854,Canada,CA,CAN,Saskatchewan
The Pas,53.81662335,-101.2333147,Canada,CA,CAN,Manitoba
Yorkton,51.21706626,-102.4665469,Canada,CA,CAN,Saskatchewan
Winnipeg,49.88298749,-97.16599186,Canada,CA,CAN,Manitoba
Charlottetown,46.24928164,-63.13132512,Canada,CA,CAN,Prince Edward Island
Saint John,45.26704185,-66.07667505,71153,Canada,CA,CAN,New Brunswick
Halifax,44.65002525,-63.60000452,Canada,CA,CAN,Nova Scotia
Fredericton,45.94999758,-66.63330774,Canada,CA,CAN,New Brunswick
Sherbrooke,45.40000531,-71.89998885,Canada,CA,CAN,Québec
Kingston,44.23371991,-76.48330082,Canada,CA,CAN,Ontario
London,42.9699986,-81.24998661,Canada,CA,CAN,Ontario
Toronto,43.69997988,-79.42002079,Canada,CA,CAN,Ontario
Ottawa,45.4166968,-75.7000153,Canada,CA,CAN,Ontario
Montréal,45.49999921,-73.58329696,3017278,Canada,CA,CAN,Québec
Edmundston,47.37941937,-68.3332815,Canada,CA,CAN,New Brunswick
Galway,53.272393,-9.048812298,Ireland,IE,IRL,Galway
Belfast,54.60001223,-5.960034425,United Kingdom,GB,GBR,Belfast
Edinburgh,55.94832786,-3.219090618,United Kingdom,GB,GBR,Edinburgh
London,51.49999473,-0.116721844,United Kingdom,GB,GBR,Westminster
Amsterdam,52.34996869,4.916640176,Netherlands,NL,NLD,Noord-Holland
Brussels,50.83331708,4.333316608,Belgium,BE,BEL,Brussels
Luxembourg,49.61166038,6.130002806,91972,Luxembourg,LU,LUX,Luxembourg
Vaduz,47.13372377,9.516669473,Liechtenstein,LI,LIE,
Zurich,47.37998781,8.55001013,724865,Switzerland,CH,CHE,Zürich
Bern,46.91668276,7.466975462,Switzerland,CH,CHE,Bern
Paris,48.86669293,2.333335326,France,FR,FRA,Île-de-France
Nantes,47.21038576,-1.590016929,France,FR,FRA,Pays de la Loire
Southampton,50.90003135,-1.399976849,United Kingdom,GB,GBR,Southampton
Cardiff,51.49999473,-3.22500757,United Kingdom,GB,GBR,Cardiff
Dublin,53.33306114,-6.248905682,Ireland,IE,IRL,Dublin
Andorra,42.50000144,1.516485961,38127,Andorra,AD,AND,
Bilbao,43.24998151,-2.929986818,614369.5,Spain,ES,ESP,País Vasco
Porto,41.15000633,-8.620001263,793316.5,Portugal,PT,PRT,Porto
Lisbon,38.72272288,-9.144866305,Portugal,PT,PRT,Lisboa
Madrid,40.40002626,-3.683351686,Spain,ES,ESP,Comunidad de Madrid
Barcelona,41.38329958,2.183370319,Spain,ES,ESP,Cataluña
Monaco,43.73964569,7.406913173,Monaco,MC,MCO,
Rome,41.89595563,12.48325842,Italy,IT,ITA,Lazio
Naples,40.84002525,14.24501135,Italy,IT,ITA,Campania
Valletta,35.89973248,14.51471065,187608,Malta,MT,MLT,
Tirana,41.32754071,19.81888301,Albania,AL,ALB,Durrës
Athens,37.98332623,23.73332108,Greece,GR,GRC,Attiki
Skopje,42.00000612,21.43346147,Macedonia,MK,MKD,Centar
Sarajevo,43.8500224,18.38300167,Bosnia and Herzegovina,BA,BIH,Sarajevo
Zagreb,45.80000673,15.99999467,Croatia,HR,HRV,Grad Zagreb
Ljubljana,46.05528831,14.51496903,Slovenia,SI,SVN,Osrednjeslovenska
San Marino,43.91715008,12.46667029,San Marino,SM,SMR,
Milan,45.4699752,9.20500891,Italy,IT,ITA,Lombardia
Prague,50.08333701,14.46597978,Czech Republic,CZ,CZE,Prague
Vienna,48.20001528,16.36663896,Austria,AT,AUT,Wien
Timisoara,45.75882062,21.22344844,Romania,RO,ROU,Timis
Sofia,42.68334943,23.31665401,Bulgaria,BG,BGR,Grad Sofiya
Bucharest,44.4333718,26.09994665,Romania,RO,ROU,Bucharest
Chisinau,47.00502362,28.85771114,Moldova,MD,MDA,Chisinau
Cluj-Napoca,46.78842185,23.5984456,Romania,RO,ROU,Cluj
Budapest,47.50000633,19.08332068,Hungary,HU,HUN,Budapest
Bratislava,48.15001833,17.11698075,Slovakia,SK,SVK,Bratislavský
Ostrava,49.83035504,18.24998653,Czech Republic,CZ,CZE,Moravskoslezský
Berlin,52.52181866,13.40154862,Germany,DE,DEU,Berlin
Warsaw,52.25000063,20.99999955,Poland,PL,POL,Masovian
Kiev,50.43336733,30.51662797,Ukraine,UA,UKR,Kiev
Minsk,53.89997744,27.56662716,Belarus,BY,BLR,Minsk
Vilnius,54.68336631,25.31663529,Lithuania,LT,LTU,Vilniaus
Riga,56.95002382,24.09996537,Latvia,LV,LVA,Riga
Tallinn,59.43387738,24.72804073,Estonia,EE,EST,Harju
Helsinki,60.17556337,24.93412634,Finland,FI,FIN,Southern Finland
Stockholm,59.35075995,18.09733473,Sweden,SE,SWE,Stockholm
Oslo,59.91669029,10.74997921,Norway,NO,NOR,Oslo
Kobenhavn,55.67856419,12.56348575,1085000,Denmark,DK,DNK,Hovedstaden
